contexto,imagen,enunciado,opcion_a,opcion_b,opcion_c,opcion_d,correcta,explicacion
"Lee el siguiente fragmento y responde:

La migración de las aves obedece a cambios estacionales.",,Pregunta número 1: ¿cuál es la respuesta?,Opción A de la 1,Opción B de la 1,Opción C de la 1,Opción D de la 1,A,La correcta es la A porque sí.
,,Pregunta número 2: ¿cuál es la respuesta?,Opción A de la 2,Opción B de la 2,Opción C de la 2,Opción D de la 2,B,La correcta es la B porque sí.
,,Pregunta número 3: ¿cuál es la respuesta?,Opción A de la 3,Opción B de la 3,Opción C de la 3,Opción D de la 3,C,La correcta es la C porque sí.
,,Pregunta número 4: ¿cuál es la respuesta?,Opción A de la 4,Opción B de la 4,Opción C de la 4,Opción D de la 4,D,La correcta es la D porque sí.
,,Pregunta número 5: ¿cuál es la respuesta?,Opción A de la 5,Opción B de la 5,Opción C de la 5,Opción D de la 5,A,La correcta es la A porque sí.
"Lee el siguiente fragmento y responde:

La migración de las aves obedece a cambios estacionales.",,Pregunta número 6: ¿cuál es la respuesta?,Opción A de la 6,Opción B de la 6,Opción C de la 6,Opción D de la 6,B,La correcta es la B porque sí.
,,Pregunta número 7: ¿cuál es la respuesta?,Opción A de la 7,Opción B de la 7,Opción C de la 7,Opción D de la 7,C,La correcta es la C porque sí.
,,Pregunta número 8: ¿cuál es la respuesta?,Opción A de la 8,Opción B de la 8,Opción C de la 8,Opción D de la 8,D,La correcta es la D porque sí.
,,Pregunta número 9: ¿cuál es la respuesta?,Opción A de la 9,Opción B de la 9,Opción C de la 9,Opción D de la 9,A,La correcta es la A porque sí.
,,Pregunta número 10: ¿cuál es la respuesta?,Opción A de la 10,Opción B de la 10,Opción C de la 10,Opción D de la 10,B,La correcta es la B porque sí.
"Lee el siguiente fragmento y responde:

La migración de las aves obedece a cambios estacionales.",,Pregunta número 11: ¿cuál es la respuesta?,Opción A de la 11,Opción B de la 11,Opción C de la 11,Opción D de la 11,C,La correcta es la C porque sí.
,,Pregunta número 12: ¿cuál es la respuesta?,Opción A de la 12,Opción B de la 12,Opción C de la 12,Opción D de la 12,D,La correcta es la D porque sí.
,,Pregunta número 13: ¿cuál es la respuesta?,Opción A de la 13,Opción B de la 13,Opción C de la 13,Opción D de la 13,A,La correcta es la A porque sí.
,,Pregunta número 14: ¿cuál es la respuesta?,Opción A de la 14,Opción B de la 14,Opción C de la 14,Opción D de la 14,B,La correcta es la B porque sí.
